timestamp,command,query
2020-12-06T16:20:00.847843Z,    9 Query,SELECT table_name FROM information_schema.tables WHERE table_schema = database() AND table_name = 'schema_migrations' AND table_type = 'BASE TABLE'
2020-12-06T16:20:00.847843Z,    9 Query,SELECT table_name FROM information_schema.tables WHERE table_schema = database() AND table_name = 'schema_migrations' AND table_type = 'BASE TABLE'
2020-12-06T16:20:00.886816Z,    9 Query,SELECT `schema_migrations`.`version` FROM `schema_migrations` ORDER BY `schema_migrations`.`version` ASC
2020-12-06T16:20:00.886816Z,    9 Query,SELECT `schema_migrations`.`version` FROM `schema_migrations` ORDER BY `schema_migrations`.`version` ASC
2020-12-06T16:20:00.944903Z,    9 Query,SELECT `keystores`.* FROM `keystores` WHERE `keystores`.`key` = 'traffic:at:5357572' LIMIT 1
2020-12-06T16:20:00.948036Z,    9 Query,SELECT `keystores`.* FROM `keystores` WHERE `keystores`.`key` = 'traffic:low' LIMIT 1
2020-12-06T16:20:00.949165Z,    9 Query,SELECT table_name FROM information_schema.tables WHERE table_schema = database()
2020-12-06T16:20:00.952784Z,    9 Query,SELECT `keystores`.* FROM `keystores` WHERE `keystores`.`key` = 'traffic:high' LIMIT 1
2020-12-06T16:20:00.952784Z,    9 Query,SELECT `keystores`.* FROM `keystores` WHERE `keystores`.`key` = 'traffic:high' LIMIT 1
2020-12-06T16:20:00.952784Z,    9 Query,SELECT `keystores`.* FROM `keystores` WHERE `keystores`.`key` = 'traffic:high' LIMIT 1
2020-12-06T16:20:00.976922Z,    9 Query,SELECT `tags`.* FROM `tags` WHERE 1=0
2020-12-06T16:20:00.976922Z,    9 Query,SELECT `tags`.* FROM `tags` WHERE 1=0
2020-12-06T16:20:01.009154Z,    9 Query,SELECT `stories`.* FROM `stories` WHERE `stories`.`merged_story_id` IS NULL AND `stories`.`is_expired` = FALSE AND (score >= 0) ORDER BY hotness LIMIT 26 OFFSET 0
2020-12-06T16:20:01.025837Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'stories' ORDER BY seq_in_index
2020-12-06T16:20:01.025837Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'stories' ORDER BY seq_in_index
2020-12-06T16:20:01.075081Z,    9 Query,"SELECT `taggings`.* FROM `taggings` WHERE `taggings`.`story_id` IN (188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157)"
2020-12-06T16:20:01.079826Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'taggings' ORDER BY seq_in_index
2020-12-06T16:20:01.087922Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'tags' ORDER BY seq_in_index
2020-12-06T16:20:01.089966Z,    9 Query,"SELECT `tags`.* FROM `tags` WHERE `tags`.`id` IN (65, 4, 94, 13, 81, 40, 23, 11, 39, 42, 95, 17, 36, 19, 20, 67, 47, 107, 57, 60, 10) ORDER BY tags.is_media desc, tags.tag"
2020-12-06T16:20:01.102018Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'domains' ORDER BY seq_in_index
2020-12-06T16:20:01.102018Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'domains' ORDER BY seq_in_index
2020-12-06T16:20:01.105480Z,    9 Query,"SELECT `domains`.* FROM `domains` WHERE `domains`.`id` IN (95, 96, 97, 98, 99, 100, 73, 74, 75, 76, 77, 78, 79)"
2020-12-06T16:20:01.131662Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'users' ORDER BY seq_in_index
2020-12-06T16:20:01.131662Z,    9 Query,SELECT column_name FROM information_schema.statistics WHERE index_name = 'PRIMARY' AND table_schema = database() AND table_name = 'users' ORDER BY seq_in_index
2020-12-06T16:20:01.137051Z,    9 Query,"SELECT `users`.* FROM `users` WHERE `users`.`id` IN (8, 12, 14, 7, 13, 5, 21, 20, 4, 17, 10, 19, 6, 3, 11)"
2020-12-06T16:20:01.179656Z,    9 Query,"SELECT `tags`.* FROM `tags` WHERE `tags`.`id` IN (40, 17, 36, 19, 20, 67, 65, 47, 107, 57, 60, 4, 10, 94, 13, 81, 23, 11, 39, 42, 95)"
2020-12-06T16:20:01.179656Z,    9 Query,"SELECT `tags`.* FROM `tags` WHERE `tags`.`id` IN (40, 17, 36, 19, 20, 67, 65, 47, 107, 57, 60, 4, 10, 94, 13, 81, 23, 11, 39, 42, 95)"
2020-12-06T16:20:01.179656Z,    9 Query,"SELECT `tags`.* FROM `tags` WHERE `tags`.`id` IN (40, 17, 36, 19, 20, 67, 65, 47, 107, 57, 60, 4, 10, 94, 13, 81, 23, 11, 39, 42, 95)"
2020-12-06T16:20:01.179656Z,    9 Query,"SELECT `tags`.* FROM `tags` WHERE `tags`.`id` IN (40, 17, 36, 19, 20, 67, 65, 47, 107, 57, 60, 4, 10, 94, 13, 81, 23, 11, 39, 42, 95)"
